"cell","method","n","bias","mcse","emp_se","mod_se","rmse","coverage","cov_mcse","ess_A","ess_C","u_diff","kappa","gu","corr","beta","predicted"
1,"pooled",1000,-0.00396077189785839,0.00426121928160912,0.134751585393113,0.13951134729882,0.134742419045445,0.964,0.00589101010014412,233.785812857175,232.991912842026,-0.00225207801553172,"0",0,"shared0",0,0
1,"two_stage",1000,-0.00496840319021477,0.00407990778988935,0.12901801259514,0.139679023300058,0.129049164881786,0.973,0.00512552436341883,233.157413047834,232.777735654073,-0.0022676475899943,"0",0,"shared0",0,0
1,"unadjusted",1000,-0.00310505778941394,0.00381294275404184,0.120575836906074,0.129000889332567,0.120555527857623,0.969,0.00548078461536303,300,300,-0.00192490986016259,"0",0,"shared0",0,NA
1,"separate",1000,-0.00713609005222154,0.00393269427873891,0.12436271261928,0.139570683559581,0.124505188594569,0.975,0.00493710441453288,232.479205655774,233.072615002888,-0.0024228208456943,"0",0,"shared0",0,0
2,"separate",1000,0.00323795720471138,0.00390265992235522,0.123412942876984,0.142011541046025,0.123393711679111,0.974,0.00503229569878401,209.087696600322,233.28974528868,0.00268175626170344,"0.1",0,"shared0",0,0
2,"pooled",1000,0.0541585520950101,0.00425636083782773,0.134597947910782,0.141762202714161,0.145022893845212,0.941,0.00745110730026082,222.156313810079,221.900953195329,0.00355549015496849,"0.1",0,"shared0",0,0.05
2,"unadjusted",1000,0.0502221764010827,0.00390943573586061,0.123627212913759,0.129009216741233,0.133381674481589,0.937,0.00768316341099159,300,300,0.00163863740630058,"0.1",0,"shared0",0,NA
2,"two_stage",1000,0.0545127790483981,0.00404480050644907,0.127907822813816,0.14197894369925,0.138980911658447,0.957,0.00641490451994416,221.730397410703,221.39351820697,0.00319758078768182,"0.1",0,"shared0",0,0.05
3,"pooled",1000,0.102675778954155,0.00452946816574313,0.143234359929733,0.144568986912328,0.176175711624669,0.887,0.0100115433375679,208.660171533538,209.597077143494,0.000137758036904119,"0.2",0,"shared0",0,0.1
3,"unadjusted",1000,0.101911765951551,0.00390095227718503,0.123358942395252,0.128897291997338,0.159963181012288,0.886,0.0100500746265886,300,300,0.000874916964426664,"0.2",0,"shared0",0,NA
3,"separate",1000,0.00637550332658228,0.00417928192552885,0.132160498686454,0.145382120993808,0.132248168449723,0.967,0.00564898220921256,183.902164784484,232.202596408294,0.000215739080662957,"0.2",0,"shared0",0,0
3,"two_stage",1000,0.103008050192026,0.00437627916001218,0.13839009822367,0.144871395945511,0.172462534689229,0.907,0.00918428004799505,208.274369106778,209.147932396922,0.000133997122818292,"0.2",0,"shared0",0,0.1
4,"unadjusted",1000,0.00495980269622858,0.0038960650989601,0.123204396250032,0.128868098716861,0.123242620772463,0.962,0.00604615580348373,300,300,-0.00230212661826253,"random",0,"shared0",0,NA
4,"two_stage",1000,0.00398846512239149,0.00409165120021259,0.129389371836334,0.139511772427059,0.129386149910605,0.96,0.00619677335393187,232.597943949913,232.559268066837,-0.00249870415207725,"random",0,"shared0",0,0
4,"pooled",1000,0.00379970430054164,0.0041830643758837,0.132280110269032,0.139308274622557,0.132268542359799,0.965,0.00581162627841812,233.055355465987,233.039876973089,-0.00249196326398343,"random",0,"shared0",0,0
4,"separate",1000,0.00302358620976469,0.00378246946828301,0.119612186998203,0.139532966379378,0.119590594432767,0.97,0.00539444158370447,232.051963209611,232.476960763338,-0.00270411970631197,"random",0,"shared0",0,0
5,"unadjusted",1000,-0.00384909340839123,0.0039238852300569,0.124084146040736,0.132264294738304,0.124081803433971,0.965,0.00581162627841812,300,300,0.00136490556146267,"0",0.25,"shared0",0,NA
5,"pooled",1000,-0.000603093179527678,0.00421450528191238,0.133274359016532,0.142894487758249,0.13320907040393,0.968,0.00556560868189635,233.95574956725,233.67294293946,0.00263495488221045,"0",0.25,"shared0",0,0
5,"two_stage",1000,-2.60929432438608e-05,0.00403297148286054,0.12753375624346,0.143070193616849,0.127469976086239,0.973,0.00512552436341883,233.626542739357,233.113749058901,0.00279702777759606,"0",0.25,"shared0",0,0
5,"separate",1000,-0.0016275695992149,0.00391995013860942,0.123959707522985,0.14297106106066,0.123908401905985,0.976,0.00483983470792134,233.196614599514,233.323339852277,0.00272392665766267,"0",0.25,"shared0",0,0
6,"unadjusted",1000,0.0466375706813319,0.00418230994982517,0.132256253222321,0.13211397399598,0.140175917328714,0.931,0.00801492358042171,300,300,-0.000200663385797254,"0.1",0.25,"shared0",0,NA
6,"two_stage",1000,0.0459922678296736,0.00445306210757947,0.140818188221409,0.145487386611217,0.148071675454634,0.95,0.00689202437604511,221.577440130622,221.433685885724,-0.000196863172623029,"0.1",0.25,"shared0",0,0.05
6,"separate",1000,-0.00386708268228035,0.00430032063607731,0.135988078790283,0.145570188664222,0.135975068096953,0.963,0.00596917079668525,209.3059700211,233.058808336049,8.75424604397738e-05,"0.1",0.25,"shared0",0,0
