"cell","method","bias","mcse","emp_se","design","shift","beta","b"
1,"naive_end",-0.00429486092128677,0.00367020011435067,0.116061918299586,"anchored",0,0,0.4
1,"maic_end",-0.00445190949494487,0.00366847779519856,0.116007453785802,"anchored",0,0,0.4
1,"gcomp_end",-0.0048592890513463,0.00347706738667051,0.109954525197682,"anchored",0,0,0.4
1,"naive_chg",-0.00255429461564888,0.00378342165539602,0.119642297798561,"anchored",0,0,0.4
1,"maic_chg",-0.00249222278492775,0.00377665283041318,0.119428248758273,"anchored",0,0,0.4
1,"gcomp_chg",-0.00195285436111515,0.00351734123431638,0.111228096084678,"anchored",0,0,0.4
2,"naive_end",-0.00336806607051549,0.00251932475139191,0.0796680438003591,"unanchored",0,0,0.4
2,"maic_end",-0.00133929129560409,0.00231160245075694,0.0730992878921913,"unanchored",0,0,0.4
2,"gcomp_end",-0.00134538656432233,0.00231079105240434,0.0730736292233523,"unanchored",0,0,0.4
2,"naive_chg",0.00133692589125761,0.00280618189638843,0.0887392632131806,"unanchored",0,0,0.4
2,"maic_chg",-0.00133929129560409,0.00231160245075694,0.0730992878921915,"unanchored",0,0,0.4
2,"gcomp_chg",-0.00134538656432234,0.00231079105240434,0.0730736292233522,"unanchored",0,0,0.4
3,"naive_end",0.00518325352571383,0.00359006492293816,0.113527821043615,"anchored",0.5,0,0.4
3,"maic_end",0.00528819415504287,0.00388524143797264,0.122862122036614,"anchored",0.5,0,0.4
3,"gcomp_end",0.00651581468886122,0.00368551779742469,0.116546305969491,"anchored",0.5,0,0.4
3,"naive_chg",0.00621141015448647,0.00398535082479108,0.126027858811705,"anchored",0.5,0,0.4
3,"maic_chg",0.00713488683379786,0.00440215391097395,0.139208329692958,"anchored",0.5,0,0.4
3,"gcomp_chg",0.0059090175400699,0.00386601283481507,0.122254060214599,"anchored",0.5,0,0.4
4,"naive_end",0.199319037405857,0.00252564984932172,0.0798680609591771,"unanchored",0.5,0,0.4
4,"maic_end",0.00144459622604461,0.00251067566324064,0.0793945356179432,"unanchored",0.5,0,0.4
4,"gcomp_end",0.00173713484229745,0.00249732757862102,0.0789724321199564,"unanchored",0.5,0,0.4
4,"naive_chg",-0.296799313291509,0.00286242624293756,0.0905178656192117,"unanchored",0.5,0,0.4
4,"maic_chg",0.00144459622603821,0.00251067566324055,0.0793945356179403,"unanchored",0.5,0,0.4
4,"gcomp_chg",0.00173713484229746,0.00249732757862102,0.0789724321199564,"unanchored",0.5,0,0.4
5,"naive_end",0.00320720752797958,0.00359909980369684,0.113813529059469,"anchored",1,0,0.4
5,"maic_end",0.000268839982261658,0.00500699709401038,0.15833515054917,"anchored",1,0,0.4
5,"gcomp_end",-0.00147965986388044,0.0042789570408685,0.135312502591587,"anchored",1,0,0.4
