"cell","K","disp","delta","sW","sA","ratio","policy","pass","bias","rmse","coverage","cond_cover_pass","cond_bias_pass"
1,5,0.25,0,0.0632455532033676,0.282842712474619,0.223606797749979,"never_pool",0,0,0.0632455532033676,0.95,NA,NA
1,5,0.25,0,0.0632455532033676,0.282842712474619,0.223606797749979,"always_pool",1,0,0.0617213399848368,0.95,0.95,0
1,5,0.25,0,0.0632455532033676,0.282842712474619,0.223606797749979,"half_sA",0.374414768475675,0,0.0632021956081147,0.948133385027674,0.95,0
1,5,0.25,0,0.0632455532033676,0.282842712474619,0.223606797749979,"test_05",0.95,0,0.0621505092708454,0.948746193942362,0.95,0
1,5,0.25,0,0.0632455532033676,0.282842712474619,0.223606797749979,"test_20",0.8,0,0.0627160195591845,0.947557616568043,0.95,0
2,10,0.25,0,0.0447213595499958,0.188561808316413,0.237170824512628,"never_pool",0,0,0.0447213595499958,0.95,NA,NA
2,10,0.25,0,0.0447213595499958,0.188561808316413,0.237170824512628,"always_pool",1,0,0.0435142634576337,0.95,0.95,0
2,10,0.25,0,0.0447213595499958,0.188561808316413,0.237170824512628,"half_sA",0.373390311042311,0,0.0446873613103841,0.94791989282156,0.95,0
2,10,0.25,0,0.0447213595499958,0.188561808316413,0.237170824512628,"test_05",0.95,0,0.043854507189984,0.948597178262859,0.95,0
2,10,0.25,0,0.0447213595499958,0.188561808316413,0.237170824512628,"test_20",0.8,0,0.0443024012488102,0.947270092840437,0.95,0
3,20,0.25,0,0.0316227766016838,0.12977713690461,0.243669858620224,"never_pool",0,0,0.0316227766016838,0.95,NA,NA
3,20,0.25,0,0.0316227766016838,0.12977713690461,0.243669858620224,"always_pool",1,0,0.0307238149057027,0.95,0.95,0
3,20,0.25,0,0.0316227766016838,0.12977713690461,0.243669858620224,"half_sA",0.372881217402673,0,0.0315975816983885,0.947814696534548,0.95,0
3,20,0.25,0,0.0316227766016838,0.12977713690461,0.243669858620224,"test_05",0.95,0,0.0309773401249205,0.948523272117383,0.95,0
3,20,0.25,0,0.0316227766016838,0.12977713690461,0.243669858620224,"test_20",0.8,0,0.0313109151973237,0.9471277237833,0.95,0
4,5,0.75,0,0.0632455532033676,0.0942809041582063,0.670820393249937,"never_pool",0,0,0.0632455532033676,0.95,NA,NA
4,5,0.75,0,0.0632455532033676,0.0942809041582063,0.670820393249937,"always_pool",1,0,0.052522573143889,0.95,0.95,0
4,5,0.75,0,0.0632455532033676,0.0942809041582063,0.670820393249937,"half_sA",0.322024557089212,0,0.0630678155550761,0.940259636297111,0.95,0
4,5,0.75,0,0.0632455532033676,0.0942809041582063,0.670820393249937,"test_05",0.95,0,0.0557233365018982,0.941517077119728,0.95,0
4,5,0.75,0,0.0632455532033676,0.0942809041582063,0.670820393249937,"test_20",0.8,0,0.0597100845369192,0.934510695377931,0.95,0
5,10,0.75,0,0.0447213595499958,0.0628539361054709,0.711512473537885,"never_pool",0,0,0.0447213595499958,0.95,NA,NA
5,10,0.75,0,0.0447213595499958,0.0628539361054709,0.711512473537885,"always_pool",1,0,0.0364390014939421,0.95,0.95,0
5,10,0.75,0,0.0447213595499958,0.0628539361054709,0.711512473537885,"half_sA",0.316286082820351,0,0.0445925523130353,0.939760464885659,0.95,0
5,10,0.75,0,0.0447213595499958,0.0628539361054709,0.711512473537885,"test_05",0.95,0,0.0389282921538078,0.940761256342797,0.95,0
5,10,0.75,0,0.0447213595499958,0.0628539361054709,0.711512473537885,"test_20",0.8,0,0.0420072554739078,0.933271513940108,0.95,0
6,20,0.75,0,0.0316227766016838,0.04325904563487,0.731009575860672,"never_pool",0,0,0.0316227766016838,0.95,NA,NA
